#      time         order        brennstof1   brennstoff   hilfsenerg   luftung      raumkuhlu 
  269.8411417       1.0000       0.0000       540.73      1.20000E-06   0.0000       0.0000    
  271.3411417       1.0000       0.0000       524.59      1.20000E-06   0.0000       0.0000    
  272.8411417       1.0000       0.0000       491.49      1.20000E-06   0.0000       0.0000    
  274.3411417       1.0000       0.0000       285.05      1.20000E-06   0.0000       0.0000    
  275.8411417       1.0000       0.0000       215.40      1.20000E-06   0.0000       0.0000    
  277.3411417       1.0000       0.0000       239.27      1.20000E-06   0.0000       0.0000    
  278.8411417       1.0000       0.0000       304.76      1.20000E-06   0.0000       0.0000    
  280.3411417       1.0000       0.0000       428.28      1.20000E-06   0.0000       0.0000    
  281.8411417       1.0000       0.0000       463.47      1.20000E-06   0.0000       0.0000    
  283.3411417       1.0000       0.0000       487.86      1.20000E-06   0.0000       0.0000    
  284.8411417       1.0000       0.0000       501.14      1.20000E-06   0.0000       0.0000    
  286.3411417       1.0000       0.0000       532.19      1.20000E-06   0.0000       0.0000    
  287.8411417       1.0000       0.0000       542.29      1.20000E-06   0.0000       0.0000    
  288.4473531       1.0000       0.0000       567.47      1.20000E-06   0.0000       0.0000    
  288.4473531       1.0000       0.0000       567.47      1.20000E-06   0.0000       0.0000    
  290.8473531       1.0000       0.0000       633.55      1.20000E-06   0.0000       0.0000    
  292.3473531       1.0000       0.0000       678.96      1.20000E-06   0.0000       0.0000    
  293.8473531       1.0000       0.0000       684.80      1.20000E-06   0.0000       0.0000    
  295.3473531       1.0000       0.0000       678.35      1.20000E-06   0.0000       0.0000    
  296.8473531       1.0000       0.0000       657.79      1.20000E-06   0.0000       0.0000    
  298.3473531       1.0000       0.0000       625.29      1.20000E-06   0.0000       0.0000    
  299.8473531       1.0000       0.0000       570.03      1.20000E-06   0.0000       0.0000    
  301.3473531       1.0000       0.0000       527.30      1.20000E-06   0.0000       0.0000    
  302.8473531       1.0000       0.0000       571.90      1.20000E-06   0.0000       0.0000    
  304.3473531       1.0000       0.0000       630.31      1.20000E-06   0.0000       0.0000    
  305.8473531       1.0000       0.0000       649.84      1.20000E-06   0.0000       0.0000    
  307.3473531       1.0000       0.0000       663.55      1.20000E-06   0.0000       0.0000    
  308.8473531       1.0000       0.0000       669.46      1.20000E-06   0.0000       0.0000    
  310.3473531       1.0000       0.0000       679.28      1.20000E-06   0.0000       0.0000    
  311.8473531       1.0000       0.0000       689.57      1.20000E-06   0.0000       0.0000    
  312.4534167       1.0000       0.0000       695.10      1.20000E-06   0.0000       0.0000    
  312.4534167       1.0000       0.0000       695.10      1.20000E-06   0.0000       0.0000    
  314.8534167       1.0000       0.0000       710.31      1.20000E-06   0.0000       0.0000    
  316.3534167       1.0000       0.0000       718.52      1.20000E-06   0.0000       0.0000    
  317.8534167       1.0000       0.0000       739.14      1.20000E-06   0.0000       0.0000    
  319.3534167       1.0000       0.0000       744.13      1.20000E-06   0.0000       0.0000    
  320.8534167       1.0000       0.0000       714.49      1.20000E-06   0.0000       0.0000    
  322.3534167       1.0000       0.0000       585.83      1.20000E-06   0.0000       0.0000    
  323.8534167       1.0000       0.0000       192.10      1.20000E-06   0.0000       0.0000    
  325.3534167       1.0000       0.0000       0.0000      1.20000E-06   0.0000       0.0000    
  326.8534167       1.0000       0.0000       0.0000      1.20000E-06   0.0000       0.0000    
  328.3534167       1.0000       0.0000       393.68      1.20000E-06   0.0000       0.0000    
  329.8534167       1.0000       0.0000       504.54      1.20000E-06   0.0000       0.0000    
  331.3534167       1.0000       0.0000       533.63      1.20000E-06   0.0000       0.0000    
  332.8534167       1.0000       0.0000       562.32      1.20000E-06   0.0000       0.0000    
  334.3534167       1.0000       0.0000       591.06      1.20000E-06   0.0000       0.0000    
  335.8534167       1.0000       0.0000       627.00      1.20000E-06   0.0000       0.0000    
  336.4593274       1.0000       0.0000       634.64      1.20000E-06   0.0000       0.0000    
  336.4593274       1.0000       0.0000       634.64      1.20000E-06   0.0000       0.0000    
  338.8593274       1.0000       0.0000       646.87      1.20000E-06   0.0000       0.0000    
  340.3593274       1.0000       0.0000       659.56      1.20000E-06   0.0000       0.0000    
  341.8593274       1.0000       0.0000       671.24      1.20000E-06   0.0000       0.0000    
  343.3593274       1.0000       0.0000       691.36      1.20000E-06   0.0000       0.0000    
  344.8593274       1.0000       0.0000       475.59      1.20000E-06   0.0000       0.0000    
  346.3593274       1.0000       0.0000      0.25542      1.20000E-06   0.0000       0.0000    
  347.8593274       1.0000       0.0000       15.345      1.20000E-06   0.0000       0.0000    
  349.3593274       1.0000       0.0000       20.504      1.20000E-06   0.0000       0.0000    
  350.8593274       1.0000       0.0000       120.60      1.20000E-06   0.0000       0.0000    
  352.3593274       1.0000       0.0000       412.29      1.20000E-06   0.0000       0.0000    
  353.8593274       1.0000       0.0000       467.10      1.20000E-06   0.0000       0.0000    
  355.3593274       1.0000       0.0000       496.21      1.20000E-06   0.0000       0.0000    
  356.8593274       1.0000       0.0000       524.87      1.20000E-06   0.0000       0.0000    
  358.3593274       1.0000       0.0000       567.46      1.20000E-06   0.0000       0.0000    
  359.8593274       1.0000       0.0000       641.32      1.20000E-06   0.0000       0.0000    
  360.4650800       1.0000       0.0000       672.43      1.20000E-06   0.0000       0.0000    
  360.4650800       1.0000       0.0000       672.43      1.20000E-06   0.0000       0.0000    
  362.8650800       1.0000       0.0000       716.68      1.20000E-06   0.0000       0.0000    
  364.3650800       1.0000       0.0000       705.55      1.20000E-06   0.0000       0.0000    
  365.8650800       1.0000       0.0000       716.59      1.20000E-06   0.0000       0.0000    
  367.3650800       1.0000       0.0000       719.02      1.20000E-06   0.0000       0.0000    
  368.8650800       1.0000       0.0000       519.60      1.20000E-06   0.0000       0.0000    
  370.3650800       1.0000       0.0000      0.24127      1.20000E-06   0.0000       0.0000    
  371.7767932       1.0000       0.0000      0.13232      1.20000E-06   0.0000       0.0000    
  373.0718212       1.0000       0.0000       0.0000      1.20000E-06   0.0000       0.0000    
  374.5718212       1.0000       0.0000       0.0000      1.20000E-06   0.0000       0.0000    
  375.6801918       1.0000       0.0000       0.0000      1.20000E-06   0.0000       0.0000    
  376.8652554       1.0000       0.0000       11.705      1.20000E-06   0.0000       0.0000    
  377.8688145       1.0000       0.0000       203.47      1.20000E-06   0.0000       0.0000    
  378.7613634       1.0000       0.0000       270.88      1.20000E-06   0.0000       0.0000    
  380.2613634       1.0000       0.0000       322.20      1.20000E-06   0.0000       0.0000    
  381.7613634       1.0000       0.0000       373.30      1.20000E-06   0.0000       0.0000    
  383.2613634       1.0000       0.0000       434.10      1.20000E-06   0.0000       0.0000    
  384.4702040       1.0000       0.0000       451.36      1.20000E-06   0.0000       0.0000    
  384.4702040       1.0000       0.0000       451.36      1.20000E-06   0.0000       0.0000    
  386.8702040       1.0000       0.0000       473.44      1.20000E-06   0.0000       0.0000    
  388.3702040       1.0000       0.0000       468.43      1.20000E-06   0.0000       0.0000    
  389.8702040       1.0000       0.0000       483.67      1.20000E-06   0.0000       0.0000    
  391.3702040       1.0000       0.0000       507.97      1.20000E-06   0.0000       0.0000    
  392.8702040       1.0000       0.0000       454.69      1.20000E-06   0.0000       0.0000    
  394.3702040       1.0000       0.0000       357.43      1.20000E-06   0.0000       0.0000    
  395.8702040       1.0000       0.0000       384.24      1.20000E-06   0.0000       0.0000    
  397.3702040       1.0000       0.0000       390.41      1.20000E-06   0.0000       0.0000    
  398.8702040       1.0000       0.0000       403.49      1.20000E-06   0.0000       0.0000    
  400.3702040       1.0000       0.0000       475.00      1.20000E-06   0.0000       0.0000    
  401.8702040       1.0000       0.0000       548.50      1.20000E-06   0.0000       0.0000    
  403.3702040       1.0000       0.0000       626.79      1.20000E-06   0.0000       0.0000    
  404.8702040       1.0000       0.0000       642.65      1.20000E-06   0.0000       0.0000    
  406.3702040       1.0000       0.0000       648.77      1.20000E-06   0.0000       0.0000    
  407.8702040       1.0000       0.0000       655.18      1.20000E-06   0.0000       0.0000    
  408.4760928       1.0000       0.0000       659.07      1.20000E-06   0.0000       0.0000    
  408.4760928       1.0000       0.0000       659.07      1.20000E-06   0.0000       0.0000    
  410.8760928       1.0000       0.0000       670.42      1.20000E-06   0.0000       0.0000    
  412.3760928       1.0000       0.0000       677.67      1.20000E-06   0.0000       0.0000    
  413.8760928       1.0000       0.0000       679.38      1.20000E-06   0.0000       0.0000    
  415.3760928       1.0000       0.0000       677.44      1.20000E-06   0.0000       0.0000    
  416.8760928       1.0000       0.0000       638.40      1.20000E-06   0.0000       0.0000    
  418.3760928       1.0000       0.0000       548.04      1.20000E-06   0.0000       0.0000    
  419.8760928       1.0000       0.0000       516.50      1.20000E-06   0.0000       0.0000    
  421.3760928       1.0000       0.0000       440.54      1.20000E-06   0.0000       0.0000    
  422.8760928       1.0000       0.0000       398.84      1.20000E-06   0.0000       0.0000    
  424.3760928       1.0000       0.0000       559.15      1.20000E-06   0.0000       0.0000    
  425.8760928       1.0000       0.0000       617.80      1.20000E-06   0.0000       0.0000    
  427.3760928       1.0000       0.0000       633.36      1.20000E-06   0.0000       0.0000    
  428.8760928       1.0000       0.0000       662.92      1.20000E-06   0.0000       0.0000    
  430.3760928       1.0000       0.0000       697.67      1.20000E-06   0.0000       0.0000    
  431.8760928       1.0000       0.0000       719.98      1.20000E-06   0.0000       0.0000    
  432.4813407       1.0000       0.0000       727.44      1.20000E-06   0.0000       0.0000    
  432.4813407       1.0000       0.0000       727.44      1.20000E-06   0.0000       0.0000    
  434.8813407       1.0000       0.0000       752.51      1.20000E-06   0.0000       0.0000    
  436.3813407       1.0000       0.0000       769.31      1.20000E-06   0.0000       0.0000    
  437.8813407       1.0000       0.0000       791.84      1.20000E-06   0.0000       0.0000    
  439.3813407       1.0000       0.0000       841.12      1.20000E-06   0.0000       0.0000    
  439.7066667       1.0000       0.0000       846.59      1.20000E-06   0.0000       0.0000    
  439.7066667       1.0000       0.0000       846.59      1.20000E-06   0.0000       0.0000    
  441.0467748       1.0000       0.0000       659.87      1.20000E-06   0.0000       0.0000    
  441.4844444       1.0000       0.0000       440.25      1.20000E-06   0.0000       0.0000    
  441.4844444       1.0000       0.0000       440.25      1.20000E-06   0.0000       0.0000    
  442.5565309       1.0000       0.0000       0.0000      1.20000E-06   0.0000       0.0000    
  443.4525300       1.0000       0.0000       0.0000      1.20000E-06   0.0000       0.0000    
  444.2349426       1.0000       0.0000       0.0000      1.20000E-06   0.0000       0.0000    
  445.7349426       1.0000       0.0000       0.0000      1.20000E-06   0.0000       0.0000    
  447.2349426       1.0000       0.0000       0.0000      1.20000E-06   0.0000       0.0000    
  448.2427097       1.0000       0.0000       0.0000      1.20000E-06   0.0000       0.0000    
  449.1881582       1.0000       0.0000       161.86      1.20000E-06   0.0000       0.0000    
  450.0723392       1.0000       0.0000       304.09      1.20000E-06   0.0000       0.0000    
  451.2737668       1.0000       0.0000       395.66      1.20000E-06   0.0000       0.0000    
  452.7737668       1.0000       0.0000       455.08      1.20000E-06   0.0000       0.0000    
  454.2737668       1.0000       0.0000       515.79      1.20000E-06   0.0000       0.0000    
  454.5400000       1.0000       0.0000       525.75      1.20000E-06   0.0000       0.0000    
  454.5400000       1.0000       0.0000       525.75      1.20000E-06   0.0000       0.0000    
  455.9735985       1.0000       0.0000       573.92      1.20000E-06   0.0000       0.0000    
  456.4775108       1.0000       0.0000       582.85      1.20000E-06   0.0000       0.0000    
  456.4775108       1.0000       0.0000       582.85      1.20000E-06   0.0000       0.0000    
  457.1864113       1.0000       0.0000       589.83      1.20000E-06   0.0000       0.0000    
