#      time         order        tair      
  632.7832559       1.0000       2.6133    
  634.2832559       1.0000       3.6833    
  635.7832559       1.0000       5.1833    
  637.0495433       1.0000       5.7505    
  638.3818319       1.0000       4.9909    
  639.5344382       1.0000       4.3915    
  641.0344382       1.0000       2.3069    
  642.4105312       1.0000       2.5411    
  643.9105312       1.0000       3.0553    
  645.4105312       1.0000       1.7379    
  646.9105312       1.0000      0.50000    
  648.4105312       1.0000      0.64632    
  648.5131251       1.0000      0.70788    
  648.5131251       1.0000      0.70788    
  650.9131251       1.0000      0.73050    
  651.5400000       1.0000     -6.40000E-02
  651.5400000       1.0000     -6.40000E-02
  652.5882920       1.0000     -0.21171    
  652.8599040       1.0000      5.99040E-02
  652.8599040       1.0000      5.99040E-02
  653.6985376       1.0000      0.68898    
  654.5371711       1.0000      0.79257    
  656.0371711       1.0000       1.0074    
  657.5371711       1.0000       2.0595    
  659.0371711       1.0000       5.3483    
  660.5371711       1.0000       6.8149    
  662.0371711       1.0000       7.7851    
  663.5371711       1.0000       6.8628    
  665.0371711       1.0000       4.0480    
  666.5371711       1.0000       2.4314    
  668.0371711       1.0000       1.7000    
  669.5371711       1.0000       1.3240    
  671.0371711       1.0000      0.49220    
  671.2413793       1.0000     -0.10000    
  671.2413793       1.0000     -0.10000    
  672.2572354       1.0000      -1.7341    
  672.5233285       1.0000      -1.1487    
  672.5233285       1.0000      -1.1487    
  673.3360133       1.0000     -0.30161    
  674.1486982       1.0000     -0.89331    
  675.6486982       1.0000      -2.0649    
  677.1486982       1.0000      -2.0067    
  678.6486982       1.0000     -0.57565    
  680.1285245       1.0000      1.28525E-02
  680.1285245       1.0000      1.28525E-02
  681.4288203       1.0000      0.10000    
  682.6122086       1.0000      0.52855    
  684.0346065       1.0000       1.4381    
  684.3346065       1.0000       1.7681    
  684.9346065       1.0000       2.4281    
  685.6119670       1.0000       2.9284    
  686.8736747       1.0000       3.2000    
  687.9021409       1.0000       3.1098    
  689.4021409       1.0000       2.1609    
  690.9021409       1.0000       2.6706    
  692.4021409       1.0000       1.7772    
  693.9021409       1.0000       1.3609    
  695.4021409       1.0000       1.4021    
  696.5263838       1.0000       2.1579    
  696.5263838       1.0000       2.1579    
  698.4198051       1.0000       1.8321    
  699.9198051       1.0000      0.49623    
  701.4198051       1.0000      4.81170E-02
  702.9198051       1.0000      0.80377    
  704.4198051       1.0000      0.37782    
  705.9198051       1.0000       2.8316    
  707.4198051       1.0000       5.2198    
  708.9198051       1.0000       6.5358    
  710.4198051       1.0000       7.4160    
  711.9198051       1.0000       6.9321    
  713.4198051       1.0000       6.0481    
  714.9198051       1.0000       4.9642    
  716.4198051       1.0000       5.0580    
  717.9198051       1.0000       2.7005    
  719.4198051       1.0000       3.1259    
  720.5293156       1.0000       3.4059    
  720.5293156       1.0000       3.4059    
